source,target,count
Albania,Cuba,1
Albania,United States,1
Australia,Russia,1
Australia,United Kingdom,1
Bahamas,Cuba,1
Bahamas,Israel,1
Belgium,Germany,1
Belgium,Norway,1
Botswana,Germany,1
Brazil,Cuba,1
Brazil,Tanzania,1
Chile,Brazil,1
Chile,Cuba,1
Chile,Iran,1
China,Argentina,1
China,Botswana,1
China,Germany,1
China,Israel,1
China,Japan,1
China,Lesotho,1
China,Palestine,1
Colombia,Brazil,1
Colombia,Mexico,1
Colombia,Tanzania,1
Costa Rica,Guatemala,1
Denmark,Bahamas,1
Denmark,Belgium,1
Denmark,Cuba,1
Denmark,France,1
Denmark,Norway,1
Denmark,Poland,1
Denmark,Russia,1
Egypt,United States,1
Ethiopia,Israel,1
Finland,Canada,1
Finland,Russia,1
France,Belgium,1
France,Brazil,1
France,China,1
France,Germany,2
France,Iran,1
France,Japan,1
France,Norway,1
France,Philippines,1
France,United States,1
Hungary,United Kingdom,1
India,Argentina,1
India,Australia,1
India,China,1
India,Ethiopia,1
India,Israel,1
India,United Kingdom,3
Indonesia,Botswana,1
Indonesia,China,1
Indonesia,Germany,1
Indonesia,Lesotho,1
Indonesia,Malaysia,2
Iran,Brazil,1
Iran,United States,1
Israel,Brazil,1
Israel,Egypt,1
Israel,Japan,1
Israel,Palestine,3
Israel,United States,2
Italy,Egypt,1
Italy,Germany,1
Italy,United States,1
Japan,China,1
Japan,United States,1
Kazakhstan,Russia,2
Kazakhstan,United States,1
Kenya,Tanzania,1
Lebanon,Argentina,1
Lebanon,China,1
Lebanon,India,1
Lebanon,Israel,2
Lesotho,Botswana,1
Lesotho,Germany,1
Libya,Philippines,1
Libya,Sweden,1
Libya,Ukraine,1
Malawi,Malta,1
Malaysia,Botswana,1
Malaysia,China,1
Malaysia,Germany,1
Malaysia,Lesotho,1
Mexico,Germany,1
Myanmar,Germany,1
North Korea,South Korea,1
Norway,Bahamas,1
Norway,Cuba,1
Norway,Denmark,1
Pakistan,Bangladesh,1
Peru,Israel,1
Peru,Japan,1
Philippines,Sweden,1
Poland,Canada,1
Poland,Germany,1
Poland,Russia,2
Portugal,Algeria,1
Portugal,Russia,2
Russia,Germany,1
Russia,Spain,1
Russia,United States,1
Rwanda,United States,1
Slovakia,South Korea,1
South Africa,Brazil,1
South Korea,Iran,1
South Korea,Palestine,1
Spain,Germany,1
Sudan,Ethiopia,1
Switzerland,Germany,1
Syria,Iran,1
Thailand,France,1
Thailand,Philippines,1
Ukraine,Canada,1
Ukraine,Finland,1
Ukraine,Philippines,1
Ukraine,Sweden,1
United Kingdom,Armenia,1
United Kingdom,Egypt,2
United Kingdom,Palestine,2
United Kingdom,Portugal,1
United Kingdom,Russia,1
United Kingdom,South Africa,1
United States,Brazil,1
United States,Cuba,2
United States,Palestine,1
Venezuela,Germany,1
Venezuela,Italy,1
